timestamp,cpu_total_pct,mem_avail_mb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,gpu_clock_graphics_mhz,gpu_clock_sm_mhz
"2026-03-16T16:39:02.7372679-03:00","6,99714374415424","23364","0","3","790","12282","4.68","39","210","210"
"2026-03-16T16:39:05.2999110-03:00","7,14394976050754","23364","0","6","790","12282","4.61","39","210","210"
"2026-03-16T16:39:07.8580976-03:00","8,24310111252881","23362","0","5","790","12282","4.67","39","210","210"
"2026-03-16T16:39:10.4121274-03:00","6,70025263309372","23370","5","3","787","12282","4.71","39","210","210"
"2026-03-16T16:39:12.9726548-03:00","13,1513064877752","23358","0","3","787","12282","4.71","39","210","210"
"2026-03-16T16:39:15.5278414-03:00","13,967166057687","23358","0","3","787","12282","4.83","39","210","210"
"2026-03-16T16:39:18.0898982-03:00","14,1366786283729","23356","0","3","787","12282","4.66","39","210","210"
"2026-03-16T16:39:20.6445529-03:00","12,733475182653","23356","0","3","787","12282","4.67","39","210","210"
"2026-03-16T16:39:23.2025713-03:00","13,6600231401389","23354","0","3","787","12282","4.65","39","210","210"
"2026-03-16T16:39:25.7582529-03:00","14,4077544689568","23356","0","3","787","12282","4.65","39","210","210"
"2026-03-16T16:39:28.3172888-03:00","13,7565422800675","23355","0","3","787","12282","4.65","39","210","210"
"2026-03-16T16:39:30.8766870-03:00","13,9408076218965","23355","0","3","787","12282","4.61","39","210","210"
"2026-03-16T16:39:33.4340031-03:00","14,1008398222936","23354","0","3","787","12282","4.61","39","210","210"
"2026-03-16T16:39:35.9922057-03:00","12,5423513790434","23353","0","3","787","12282","4.64","39","210","210"
"2026-03-16T16:39:38.5487435-03:00","13,1144189586953","23316","0","3","787","12282","4.62","39","210","210"
"2026-03-16T16:39:41.1102336-03:00","13,6742522931893","23312","0","3","787","12282","4.64","39","210","210"
"2026-03-16T16:39:43.6689269-03:00","13,8763484246975","23311","0","3","787","12282","4.64","39","210","210"
"2026-03-16T16:39:46.2252211-03:00","13,4866501497027","23310","0","3","787","12282","4.59","39","210","210"
"2026-03-16T16:39:48.7861332-03:00","13,7923171326468","23340","0","5","787","12282","4.62","39","210","210"
"2026-03-16T16:39:51.3417232-03:00","14,2458671324642","23339","0","3","787","12282","4.66","39","210","210"
"2026-03-16T16:39:53.8998371-03:00","13,0968900599029","23337","0","4","787","12282","4.61","39","210","210"
"2026-03-16T16:39:56.4742744-03:00","12,9534308542282","23321","0","3","787","12282","4.56","39","210","210"
"2026-03-16T16:39:59.0327550-03:00","13,2460752947212","23321","0","3","787","12282","4.75","39","210","210"
"2026-03-16T16:40:01.5935457-03:00","14,2261313872227","23323","0","3","787","12282","4.62","39","210","210"
"2026-03-16T16:40:04.1656518-03:00","13,0417250892137","23323","0","3","787","12282","4.66","39","210","210"
"2026-03-16T16:40:06.7221247-03:00","13,0578050166345","23318","0","3","789","12282","4.68","39","210","210"
"2026-03-16T16:40:09.2982049-03:00","26,8158922098371","23314","0","11","789","12282","4.74","39","210","210"
"2026-03-16T16:40:11.8680172-03:00","25,5029644912242","23314","0","3","789","12282","4.66","39","210","210"
"2026-03-16T16:40:14.4441591-03:00","25,6241861366641","23313","0","4","789","12282","4.65","39","210","210"
"2026-03-16T16:40:17.0054728-03:00","25,1045904357036","23314","0","4","789","12282","4.62","39","210","210"
"2026-03-16T16:40:19.5683056-03:00","25,4929480710831","23310","0","4","789","12282","4.69","39","210","210"
"2026-03-16T16:40:22.1456658-03:00","25,4141690317046","23310","0","3","789","12282","4.66","39","210","210"
"2026-03-16T16:40:24.7248777-03:00","24,9823958671501","23308","0","6","789","12282","4.69","39","210","210"
"2026-03-16T16:40:27.2830169-03:00","26,2273449399288","23320","0","4","789","12282","4.66","39","210","210"
"2026-03-16T16:40:29.8624071-03:00","25,1594877548701","23318","0","3","789","12282","4.68","39","210","210"
"2026-03-16T16:40:32.4266391-03:00","24,784901893591","23319","0","3","789","12282","4.78","39","210","210"
"2026-03-16T16:40:34.9870450-03:00","25,6988683759365","23316","0","5","789","12282","4.72","39","210","210"
"2026-03-16T16:40:37.5599366-03:00","47,4122900238741","23326","0","2","789","12282","4.95","39","210","210"
"2026-03-16T16:40:40.1480962-03:00","58,6684408098772","23267","0","3","789","12282","4.79","39","210","210"
"2026-03-16T16:40:42.7241666-03:00","58,1385141173713","23242","0","3","789","12282","4.80","39","210","210"
"2026-03-16T16:40:45.2807316-03:00","57,1363706848383","23244","0","3","789","12282","4.67","39","210","210"
